ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
adionics;hal’extra;agriculture, industrie et sylviculture éco-efficientes;13;2;THIAIS (94); 787 368 €; 285 264 €; 2019 - 2020;"Adionics est une société innovante développant une solution de traitement 
d’eaux salines, baptisée AquaOmnes. Cette solution repose sur une 
technologie de rupture d’extraction sélective et de valorisation des sels 
présents dans des eaux salines industrielles ou naturelles.";"Adionics souhaite développer une version de la technologie AquaOmnes afi n 
d’extraire sélectivement les sels d’iodures ou de bromures présents dans des 
effl uents industriels ou des saumures naturelles. L’objectif est d’améliorer 
l’assainissement des eaux de rejets, de valoriser les sels extraits et d’optimiser 
la production industrielle d’Iode et de Brome. 
L’effort de R&D principal visera à accéder à une sélectivité iodure/chlorure 
et bromure/chlorure suffi sante pour permettre l’extraction d’au moins 80% 
de ces sels halogénés issus de saumures ayant plus de 100 ppm d’iodure ou 
plus de 1000 ppm de bromure. A l’issue du projet, des installations pilotes 
seront installées sur sites industriels."
algosource;allisimac;alimentation intelligente;75;2;PAYS DE LA LOIRE; 787 000 €; 354 000 €;  2019 - 2021;"Premier producteur de Spiruline en Europe en 1995, la SAS AlgoSource est 
spécialisée dans la valorisation des microalgues.";"Avec son projet Allisimac, la société vise la mise au point, puis la 
commercialisation, de produits innovants avec des allégations en 
nutrition/santé, à partir de la microalgue Chlorella vulgaris.
Une fois le produit fi nal stabilisé, le projet se terminera par la conception 
d’une ligne optimisée de bioraffi nage de Chlorelle à échelle industrielle, pour 
une capacité de traitement d’environ une tonne/an de matière sèche.
©Donatien Millet
ÉTAPE 1 >  Janv. 2019 - Déc 2019
Obtention d’un procédé éco-conçu de 
bio-raffi nage de chlorelle à l’échelle pilote et 
objectivation des activités fonctionnelles de 
la chlorelle
ÉTAPE 3 >  Janv. 2021 - Sept. 2021
Design de la ligne de production à l’échelle 
industrielle
ÉTAPE 2 >  Janv. 2020- Déc. 2020
Développement des produits fi naux pour mise 
sur le marché"
alkemics;b2b marketplace;numérique;38;2;PARIS (75); 2 198 664 €; 769 532 €; 2019 - 2020;"Alkemics, start-up française créée en 2011, propose le premier réseau de 
collaboration digitale de la grande consommation. La plateforme Alkemics 
est la brique collaborative qui aide marques, distributeurs et solutions métier 
à digitaliser, collecter et partager l’ensemble de leurs données produites, en 
un seul lieu sécurisé.";"Le projet porté par Alkemics est de créer la première marketplace B2B 
mondiale pour les biens grande consommation en mettant en relation 
détaillants et fabricants, quelles que soient leurs tailles. La marketplace 
a pour objectifs de rationnaliser et normaliser les échanges d’informations 
relatives aux produits (Phase 1), de faciliter les relations commerciales déjà 
existantes et de favoriser le développement entre de nouveaux partenaires 
(Phase 2). 
La phase 1 menée à bien en France, est en cours de déploiement à 
l’international. La phase 2, qui est l’objet de la demande de fi nancement par le 
programme, consiste à créer de nouvelles fonctionnalités sur la plate-forme."
alkion bio innovations;negensweet;alimentation intelligente;76;2;VERSAILLES (78); 1 700 000 €; 719 000 €; 2019 - 2020;"Le projet NeGenSweet, porté par la société Alkion Bio Innovations, vise le 
développement et la production d’additifs alimentaires végétaux dotés d’un 
pouvoir sucrant élevé pour les marchés de l’agroalimentaire. Ces additifs 
seront obtenus par stimulation des plantes en bioréacteurs, et leur production 
sera traçable par blockchain.";"Ce nouveau procédé industriel, peu énergivore, inclue une revalorisation 
des déchets et le recyclage de l’eau introduite dans le process, tout en 
garantissant la naturalité des additifs produits.
A terme, la bioraffi nerie doit permettre la production de 10 tonnes de matière 
végétale sèche, avec des rendements en protéines sucrantes suffi sants pour 
être commercialisées.
ÉTAPE 1 >  Janv. 2019 - Déc. 2019
Obtention, stabilisation et croissance de calls 
à un stade laboratoire avec des rendements 
en protéines sucrantes suffi sants pour une 
montée en échelle
ÉTAPE 2 >  Janv. 2020 - Déc. 2020
Passage en bioréacteurs puis en larges 
bioréacteurs, programmation de la 
©Alkion bio innovations"
alpinov x;fhp;agriculture, industrie et sylviculture éco-efficientes;14;2;GRENOBLE (38); 798 546 €; 359 346 €; 2018 - 2019;"La société ALPINOV X développe des générateurs de froid à haute performance
énergétique destinés aux segments de marché du froid entre -20 et +20°C, 
et plus particulièrement le refroidissement des Datacenter et les réseaux de 
froid urbain.";"ALPINOV X développe une solution de production de froid à haute 
performance énergétique offrant un rendement triplé par rapport aux 
solutions existantes. Ce produit cible dans un premier temps le segment 
de marché de l’enneigement de culture, puis, dans un second temps, celui 
de la climatisation industrielle. L’objectif des activités liées au Concours 
d’innovation est de permettre d’accélérer et clôturer les phases de R&D 
ciblant trois des sous-systèmes intégrés : la turbo pompe dédiée au pompage 
de l’eau sous vide, le condenseur par aspersion d’eau sous vide, et les paliers 
et roulements céramiques lubrifi és pour application en vide."
amplisim;refsim;expositions chroniques et risques sanitaires;33;2;PARIS (75); 628 800€; 282 960 €; 2019 - 2021;"AmpliSIM offre un service web de modélisation environnementale, 
principalement dans le domaine de la qualité de l’air. Ses clients sont des 
industriels, des gestionnaires d’infrastructure et des sociétés d’engineering. 
AmpliSIM aide ses clients à évaluer, suivre et prévoir l’impact de leurs 
installations sur l’environnement et les populations.";"RefSIM vise à offrir une meilleure lisibilité des impacts en termes d’expositions 
chroniques et des risques sanitaires dans l’air ou l’eau aux industriels ou 
gestionnaires d’infrastructures. 
RefSIM est un service web de modélisation pour le suivi et la prévision, en 
temps réel, de l’impact de sites industriels ou d’infrastructures. Adossé à des 
calculateurs à haute performance, et intégrant des données fournies sur une 
base mondiale et les mesures de site, il articule modélisation et deeplearning 
pour fournir le suivi de la dernière heure et la prévision 6-24h des impacts."
bbs slama;bee;performance environnementale des bâtiments;7;2;PUY-DE-DÔME (63); 675 058 €; 303 776 €; 2019 - 2021;"BBS SLAMA développe et distribue des logiciels pour le bâtiment en 
thermique, climatique, réseaux hydrauliques/aérauliques. Leur principal 
logiciel ClimaWin réunit dans un modèle de bâtiment unique les calculs : 
RT2012, label E+C-, simulation thermique, dimensionnement des systèmes... 
ClimaWin existe en version plugin dans des environnements de modélisation 
numérique (BIM).";"Le projet BEE répond à la demande de développer l’usage du BIM à l’horizon 
2022 pour le calcul des performances énergétiques des bâtiments et de la 
réduction de l’empreinte carbone. Dans un contexte général d’expansion 
du BIM, BEE veut comprendre les obstacles spécifi ques que l’on constate 
pour ces domaines. BEE développera des outils pour lever ces obstacles et 
expérimentera leur mise en œuvre avec de grandes structures mais aussi 
avec des structures plus modestes."
boostheat;boostheat.20;performance environnementale des bâtiments;8;2;"VÉNISSIEUX (69) 
 RAMONVILLE (31)"; 781 291 €; 330 135 €; 2019 - 2021;"BOOSTHEAT est concepteur, fabricant, installateur et mainteneur de 
chaudières thermodynamiques très performantes. BOOSTHEAT est une 
nouvelle technologie de compression thermique permettant d’atteindre des 
rendements de 200 % sur énergie primaire, divisant par 2 les consommations 
d’énergie et les émissions de gaz à effet de serre (GES) liées au chauffage.";"Le projet BOOSTHEAT.20 est la dernière phase de R&D du premier produit 
BOOSTHEAT : la BOOSTHEAT.20. D’une puissance de 20kW, elle est 
destinée au marché de la rénovation de la maison individuelle et apporte une 
réponse signifi cative aux objectifs d’effi cacité énergétique et de performance 
énergétique des bâtiments en divisant par deux les émissions de GES et les 
consommations d’énergie fossile liées au chauffage.
BOOSTHEAT.20 permettra de valider la conception industrielle du produit qui
sera assemblé dans l’usine de BOOSTHEAT installée à Vénissieux."
cardiorenal;impacter;santé;54;2;"BAS-RHIN (67) 
 PARIS (75)
 ISÈRE (38)"; 790 000 €; 355 500 €;  2019 - 2020;"CardioRenal développe une boucle de télémédecine qui permet au patient 
insuffi sant cardiaque d’analyser une goutte de sang à son domicile pour 
suivre en direct l’évolution de sa pathologie tout en informant son médecin 
pour un traitement plus personnalisé grâce un ajustement de la prescription 
en temps réel.";"Le projet IMPACT vise à développer une version avancée de ExpHeartTM, 
la boucle de télémédecine actuelle de CardioRenal (CE marque prévu 
en Décembre 2018). La nouvelle version de la boucle de CardioRenal vise 
à rendre la procédure de mesure beaucoup plus simple et indolore pour 
le patient afi n que celui-ci accomplisse bien ses mesures quotidiennes et 
d’une façon répétable et minimalement invasive. De plus des outils logiciels 
(apps) seront développés afi n de donner facilement accès au patient à des 
informations personnalisées. L’objectif est de permettre une meilleure 
adaptation des traitements par les médecins et de promouvoir les échanges 
entre communautés de patients. "
connecting food;live transparency;alimentation intelligente;77;2;PARIS (75); 800 000 €; 360 000 €; 2019 - 2020;"Le projet vise à fournir une suite de solutions intégrées basées sur la 
blockchain permettant le suivi en temps réel de chaque produit alimentaire 
en assurant l’interopérabilité avec les solutions de suivi actuelles.";"Connecting Food crée la 1ère solution d’audit digital des cahiers des charges 
des produits alimentaires, qui permet de prouver en temps réel, tout au long 
de la fi lière de production le respect des promesses des produits fi naux.
En bout de chaine, la traçabilité et les résultats de l’audit sont montrés aux 
consommateurs fi naux, pour créer de la valeur pour les marques.
LOT 1 >  Janvier 2019 - juin 2020
Système de gestion de la confi ance
LOT 2 > Mai 2019 - février 2020
Composants relatifs à la Blockchain
LOT 3 > Février 2019 - juillet 2019
Architecture de « mapfl ow reverse »
LOT 4 > Juillet 2019 - janvier 2020
Développement de la solution de
« mapfl ow reverse »"
